timestamp,from_unixtime(timestamp),sid,mysql_version,metric_file,Latency,result
1674882141,2023-01-28 05:02:21,2531,Percona 8.0.30,2023-01-28/87b234cb-b6f1-46dc-8407-f6da64b2c27a.json,354.634,10;ON;150000;64;68719476736;all;2000;8589934592;90.000000;10.000000;1;0;33554432;20;null;0;32768;200;248;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;4000000000;2;10000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;262144;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;62;32768;8192;8192;4096;131072;262144;512;300;4;134217728;262144;256;1024;2048;16;1048576;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;ON;LOGICAL_CLOCK;OFF;0;128;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1674507097,2023-01-23 20:51:37,2279,Percona 8.0.29,2023-01-23/88530904-8714-48c2-8447-abc24419b032.json,141.864,10;ON;150000;64;68719476736;all;200;8589934592;90.000000;10.000000;1;0;536870912;0;null;0;32768;200;663;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;2000000000;2;2000;600;134217728;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;536870912;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;0;32768;8192;8192;4096;131072;67108864;512;300;4;134217728;67108864;256;2432;4096;16;1048576;8192;null;0;8;268435456;25;OFF;ON;640000000;8192;1073741824;30;128;8388608;31536000;OFF;LOGICAL_CLOCK;OFF;0;128;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1674493325,2023-01-23 17:02:05,2531,Percona 8.0.30,2023-01-23/8d83b4f9-3e45-482c-88c5-2f18e48b7eed.json,354.634,10;ON;150000;64;68719476736;all;2000;8589934592;90.000000;10.000000;1;0;33554432;20;null;0;32768;200;248;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;4000000000;2;10000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;262144;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;62;32768;8192;8192;4096;131072;262144;512;300;4;134217728;262144;256;1024;2048;16;1048576;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;ON;LOGICAL_CLOCK;OFF;0;128;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1673758838,2023-01-15 05:00:38,2531,Percona 8.0.30,2023-01-15/8e123a22-68f7-4583-b046-48ef77eb8d13.json,354.634,10;ON;150000;64;68719476736;all;2000;8589934592;90.000000;10.000000;1;0;33554432;20;null;0;32768;200;248;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;4000000000;2;10000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;262144;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;62;32768;8192;8192;4096;131072;262144;512;300;4;134217728;262144;256;1024;2048;16;1048576;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;ON;LOGICAL_CLOCK;OFF;0;128;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1672963209,2023-01-06 00:00:09,2279,Percona 8.0.29,2023-01-06/8f1d4110-a396-472b-8843-c400271bdee9.json,165.879,10;ON;150000;64;68719476736;all;200;8589934592;90.000000;10.000000;1;0;536870912;0;null;0;32768;200;663;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;2000000000;2;2000;600;134217728;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;536870912;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;0;32768;8192;8192;4096;131072;67108864;512;300;4;134217728;67108864;256;2432;4096;16;1048576;8192;null;0;8;268435456;25;OFF;ON;640000000;8192;1073741824;30;128;8388608;31536000;OFF;LOGICAL_CLOCK;OFF;0;128;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1673764825,2023-01-15 06:40:25,2645,Percona 8.0.30,2023-01-15/8f8a0e8e-f6a2-444e-a616-ca1b8d03d8c9.json,13.063,10;ON;150000;4;4831838208;all;200;603979776;90.000000;10.000000;1;0;16777216;0;null;0;32768;200;228;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;2000000000;2;2000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;64;0;128;1048576;6;30;10000;ON;64;8388608;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;0;32768;8192;8192;4096;131072;8388608;512;300;4;134217728;8388608;256;2944;4945;16;1048576;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;ON;LOGICAL_CLOCK;OFF;0;8;64;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1674579729,2023-01-24 17:02:09,2531,Percona 8.0.30,2023-01-24/900c9df3-519f-4975-b65e-ad0259835f50.json,354.634,10;ON;150000;64;68719476736;all;2000;8589934592;90.000000;10.000000;1;0;33554432;20;null;0;32768;200;248;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;4000000000;2;10000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;262144;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;62;32768;8192;8192;4096;131072;262144;512;300;4;134217728;262144;256;1024;2048;16;1048576;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;ON;LOGICAL_CLOCK;OFF;0;128;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1673780438,2023-01-15 11:00:38,2517,Percona 8.0.27,2023-01-15/9031d75d-feaa-43a3-a4f1-d64cb3ea56bf.json,1532.143,10;ON;150000;1;17179869184;all;200;50331648;90.000000;10.000000;1;0;16777216;9;null;0;32768;200;279;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;2000000000;2;2000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;262144;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;62;32768;8192;8192;4096;131072;262144;512;300;4;134217728;262144;256;2000;4000;16;1048576;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;1;128;8388608;31536000;OFF;LOGICAL_CLOCK;OFF;0;2;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1673784031,2023-01-15 12:00:31,2279,Percona 8.0.29,2023-01-15/914a9741-7c24-41ed-aa3b-171ae0a0aecb.json,140.259,10;ON;150000;64;68719476736;all;200;8589934592;90.000000;10.000000;1;0;536870912;0;null;0;32768;200;663;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;2000000000;2;2000;600;134217728;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;536870912;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;0;32768;8192;8192;4096;131072;67108864;512;300;4;134217728;67108864;256;2432;4096;16;1048576;8192;null;0;8;268435456;25;OFF;ON;640000000;8192;1073741824;30;128;8388608;31536000;OFF;LOGICAL_CLOCK;OFF;0;128;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
1673521221,2023-01-12 11:00:21,2517,Percona 8.0.27,2023-01-12/971ffa9a-e2d3-4a2d-8c2f-ac93114bef1e.json,1532.143,10;ON;150000;1;17179869184;all;200;50331648;90.000000;10.000000;1;0;16777216;9;null;0;32768;200;279;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;0;30;8000000;2000000000;2;2000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;262144;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;4096;18446744073709551615;1024;0;18446744073709551615;1;62;32768;8192;8192;4096;131072;262144;512;300;4;134217728;262144;256;2000;4000;16;1048576;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;1;128;8388608;31536000;OFF;LOGICAL_CLOCK;OFF;0;2;4;2;80;50;400;0;10000;18446744073709551615;0;8192;256;256;1073741824
